ItemNumber,2023-04-08,2023-07-07,2023-07-14,2023-07-21,2023-07-28,2023-08-09,2023-08-16,2023-08-18,2023-08-22,2023-08-25,2023-09-07,2023-09-29,2023-10-07,2023-10-13
064-01-1346,4354,4026,0,0,0,0,3954,0,0,0,5418,0,4954,0
064-01-1347,5361,4561,0,0,0,0,0,0,0,0,7129,0,5561,0
064-01-1348,4228,3816,0,0,0,0,0,0,0,0,4948,0,4672,0
064-01-1349,4660,3036,0,0,0,0,0,0,0,0,4956,0,3940,0
064-01-1351,0,3336,0,0,0,0,0,0,0,0,3796,0,3136,0
064-01-1360,3835,3935,0,0,0,0,0,0,0,0,6175,0,5135,0
064-01-1361,6235,4659,0,0,0,0,0,0,0,0,8655,0,6035,0
064-01-1362,5281,0,0,0,0,0,0,0,0,0,6361,0,6425,0
064-01-1363,6316,4488,0,0,0,0,0,0,0,0,7128,0,6824,0
064-01-1365,5420,0,0,0,0,0,0,0,0,0,6900,0,5620,0
064-01-1375,0,4264,0,0,0,0,6084,0,0,0,4452,0,0,0
064-01-1384,4070,4270,0,0,0,0,0,0,0,0,4950,0,5070,0
064-01-1385,7336,5832,0,0,0,0,0,0,0,0,8332,0,7136,0
064-01-1386,0,3403,0,0,0,0,5619,0,0,0,4575,0,0,0
064-01-1388,4159,3759,0,0,0,0,0,0,0,0,5623,0,4259,0
064-01-1389,0,4536,0,0,0,0,0,0,0,0,5520,0,4552,0
064-01-1398,7069,0,0,0,0,0,0,0,0,0,8065,0,7373,0
064-01-1399,8399,7299,0,0,0,0,0,0,0,0,12135,0,8799,0
064-01-1400,8679,0,0,0,0,0,0,0,0,0,9847,0,7443,0
064-01-1401,4750,4598,0,0,0,0,0,0,0,0,8122,0,6150,0
064-01-1403,0,0,0,0,0,0,0,0,0,0,10201,0,8509,0
064-01-1408,6573,0,0,0,0,0,0,0,0,0,7101,0,7137,0
064-01-1409,12435,10723,0,0,0,0,0,0,0,0,15075,0,13231,0
064-01-1410,7245,0,0,0,0,0,0,0,0,0,8017,0,7445,0
064-01-1411,0,3075,0,0,0,0,11723,0,0,0,6071,0,0,0
064-01-1413,7924,0,0,0,0,0,0,0,0,0,9616,0,0,0
064-01-1423,0,3849,0,0,0,0,0,0,0,0,6289,0,0,0
064-01-1424,0,2952,0,0,0,0,0,0,0,0,3188,0,0,0
064-01-1430,0,4471,0,0,0,0,9451,0,0,0,5011,0,0,0
064-01-1431,0,3264,0,0,0,0,6720,0,0,0,3480,0,0,0
064-01-1437,0,2964,0,0,0,0,0,0,0,0,3848,0,0,0
064-01-1443,7965,0,0,0,0,0,7565,0,0,0,9557,0,8665,0
064-01-1444,7449,0,0,0,0,0,0,0,0,0,9717,0,7449,0
064-01-1445,0,0,0,0,0,0,8449,0,0,0,6073,0,4649,0
064-01-1446,0,0,0,0,0,0,8836,0,0,0,5304,0,0,0
064-01-1448,0,0,0,0,0,0,7246,0,0,0,8286,0,7046,0
064-09-0006,10982,0,0,0,0,11814,11814,0,0,0,11398,11814,10982,11814
064-09-0041,11704,0,0,0,0,12616,12616,0,0,0,12160,12616,11704,12616
064-09-0042,10623,0,0,0,0,11323,11323,0,0,0,10971,11323,10623,11323
064-09-0043,10984,0,0,0,0,11776,11776,0,0,0,11380,11776,10984,11776
064-09-0054,13203,0,0,0,13203,14303,14303,0,0,0,0,15307,13803,15307
064-09-0059,14676,0,0,0,0,15604,15604,0,0,0,15140,15604,14676,15604
064-09-0250,10906,0,0,0,0,11606,11606,0,0,0,11254,11606,10906,11606
064-09-0631,9984,0,0,0,0,11132,11132,0,0,0,10672,11132,9984,11132
064-09-0733,11909,0,0,0,11909,13457,13457,0,0,0,0,14381,12993,14381
064-09-0942,10339,0,0,0,0,11039,11039,0,0,0,10687,11039,10339,11039
064-09-1062,10356,0,0,0,0,11096,11096,0,0,0,10724,11096,10356,11096
064-09-2179,7368,0,0,0,0,7980,7980,0,0,0,7676,7676,7368,7676
064-09-2641,18952,19260,0,0,18952,20568,20568,19952,0,0,0,21880,19916,21876
064-09-3154,0,0,0,0,0,3584,3584,0,0,0,3464,3584,0,3584
064-09-3413,7895,0,0,0,0,8527,8527,0,0,0,8211,8211,7895,8211
064-09-3490,0,0,0,0,0,6939,6939,0,0,0,6747,6747,0,6747
064-09-3600,7804,0,0,0,0,8328,8328,0,0,0,8068,7804,7804,7804
064-09-3654,18337,18513,0,0,0,19693,19693,0,0,0,19105,19693,18337,19693
064-09-3787,28604,29192,0,0,0,31284,31284,30104,0,0,30240,31284,28604,31284
064-09-3958,5438,0,0,0,0,5962,5962,0,0,0,5702,5438,5438,5438
